No.,Quantity,Designator,Footprint,Pin Count,Device
1,6,"C1,C2,C3,C4,C5,C17",C0805,2,4.7u
2,10,"C7,C8,C9,C10,C11,C12,C13,C14,C15,C16",C0603,2,0.22u
3,1,J1,ICE_PROG,10,HDR-M-2.54_2x5
4,2,"P1,P2",HDR-TH_24P-P2.54-V-M-2,24,1x24 0.1 Header Through Hole
5,8,"R3,R4,R11,R12,R13,R14",R0603,2,10 Kohm
6,8,"R2,R7",R0603,2,100 ohm
7,1,U2,SOIC-8_L4.9-W3.9-P1.27-LS6.1-BL,8,IS66WVS4M8BLL-104NLI
8,1,U4,SOT-26_L3.0-W1.6-P0.95-LS2.8-BR,6,AP7312-1233W6-7
9,1,U5,LATC-CSBGA-132,132,ICE40HX8K-CB132
10,1,U6,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,8,W25Q16JVSNIQ_C2456211
,,,TOTAL PINS,276,
